url,raw_title,raw_snippet,clean_text,mentions_hiring,mentions_event,mentions_urgency,mentions_commercial,rule_score,perplexity_score,final_score,intent_label
https://www.linkedin.com/jobs/view/photographer-at-robert-half-4266547954,"Robert Half hiring Photographer in Louisville, KY","Jul 14, 2025—A leading e-commerce company is seeking a freelance Photographer to join its high-volume digital studio in Louisville, KY.",robert half hiring photographer in louisville ky jul 14 2025a leading ecommerce company is seeking a freelance photographer to join its highvolume digital studio in louisville ky,True,False,False,True,0.6,0.4,0.48,Low
https://www.linkedin.com/jobs/view/photographer-at-horizontal-talent-4264485327,"Horizontal Talent hiring Photographer in Louisville, KY",Qualifications: 2 year or 4 year degree in photography and/or related field; 0-3 years of digital studio product photography experience; A strong online ...,horizontal talent hiring photographer in louisville ky qualifications 2 year or 4 year degree in photography andor related field 03 years of digital studio product photography experience a strong online,True,False,False,True,0.6,0.4,0.48,Low
https://www.linkedin.com/jobs/view/photographer-at-aquent-4266543633,"Aquent hiring Photographer in Louisville, KY","We're seeking a Freelance Photographer to join a dynamic studio environment specializing in high-volume, product-focused photography. Your expertise will ...",aquent hiring photographer in louisville ky were seeking a freelance photographer to join a dynamic studio environment specializing in highvolume productfocused photography your expertise will,True,False,False,True,0.6,0.4,0.48,Low
https://www.linkedin.com/jobs/view/photographer-i-at-robert-half-4267246692,"Robert Half hiring Photographer I in Louisville, KY","Jul 14, 2025—A leading e-commerce company is seeking a freelance Photographer to join its high-volume digital studio in Louisville, KY.",robert half hiring photographer i in louisville ky jul 14 2025a leading ecommerce company is seeking a freelance photographer to join its highvolume digital studio in louisville ky,True,False,False,True,0.6,0.4,0.48,Low
https://www.linkedin.com/jobs/view/photographer-at-bella-baby-photography-3966493806,"Bella Baby Photography hiring Photographer in Knoxville, TN","Bella Baby Photography is looking to hire talented photographers who are passionate about their craft, eager to learn new skills, and who are ready to ...",bella baby photography hiring photographer in knoxville tn bella baby photography is looking to hire talented photographers who are passionate about their craft eager to learn new skills and who are ready to,True,False,False,False,0.4,0.4,0.4,Low
https://www.linkedin.com/jobs/view/photographer-photo-studio-at-lensa-4269882856,"Lensa hiring Photographer- Photo Studio in Bentonville, AR","Jul 19, 2025—Lensa is a career site that helps job seekers find great jobs in the US. We are not a staffing firm or agency. Lensa does not hire directly ...",lensa hiring photographer photo studio in bentonville ar jul 19 2025lensa is a career site that helps job seekers find great jobs in the us we are not a staffing firm or agency lensa does not hire directly,True,False,False,False,0.4,0.4,0.4,Low
https://www.linkedin.com/jobs/view/photographer-at-neon-canvas-4268827646,"Neon Canvas hiring Photographer in Memphis, TN","Jul 18, 2025—Job Title: Photographer. Location: Memphis, TN. Salary Range: $50,000–$60,000. Position Overview: We are seeking a skilled and imaginative ...",neon canvas hiring photographer in memphis tn jul 18 2025job title photographer location memphis tn salary range 5000060000 position overview we are seeking a skilled and imaginative,True,False,False,False,0.4,0.4,0.4,Low
https://www.linkedin.com/posts/bernadette-decelle_to-my-dc-friends-who-may-need-a-photographer-activity-7158083543540056064-o7cz,Bernadette DeCelle's Post,"To my DC friends who mayneed a photographer, check out Frankie Garcia's work with my nephew John DeCelle. He was handsome before but ...",bernadette decelles post to my dc friends who mayneed a photographer check out frankie garcias work with my nephew john decelle he was handsome before but,True,False,False,False,0.4,0.4,0.4,Low
https://www.linkedin.com/posts/steffiandrews2021_you-dont-need-a-photographer-just-use-ai-activity-7292077282578345984-xomg,"You dont need a photographer, just use AI. That was a viral ...","You dontneed a photographer, just use AI. That was a viral post on Friday. A lawyer encouraged us all to save a few bucks and have fake �",you dont need a photographer just use ai that was a viral you dontneed a photographer just use ai that was a viral post on friday a lawyer encouraged us all to save a few bucks and have fake,True,False,False,False,0.4,0.4,0.4,Low
https://www.linkedin.com/jobs/view/photographer-videographer-%E2%80%93-outdoor-advertising-at-silvercast-media-4205492577,Photographer/Videographer – Outdoor Advertising,This is a full-time position (not freelance) that offers a unique opportunity to work on high-visibility outdoor advertising campaigns for major global brands.,photographervideographer outdoor advertising this is a fulltime position not freelance that offers a unique opportunity to work on highvisibility outdoor advertising campaigns for major global brands,False,False,False,True,0.2,0.4,0.32,Low
